StoreCode,StoreName,Distance,Route,Group,AvgRTE,ScenarioFreq,Mon,Tues,Wed,Thur,Fri
201,390 WEST STREET(DBN)- CLICKS,LOCAL 0-50KM,CBD,Local,1.652380952380953,5,1,1,1,1,1
203,WINDERMERE (DBN)- CLICKS,LOCAL 0-50KM,CBD,Local,2.488235294117647,4,1,1,0,1,1
208,WESTVILLE (DBN)- CLICKS,LOCAL 0-50KM,LOCAL WEST,Local,2.028571428571428,5,1,1,1,1,1
210,WORKSHOP (DBN)- CLICKS,LOCAL 0-50KM,CBD,Local,2.152941176470588,4,1,1,0,1,1
214,PINETOWN - CLICKS,LOCAL 0-50KM,LOCAL WEST,Local,2.51,5,1,1,1,1,1
215,LA LUCIA (DBN) - CLICKS,LOCAL 0-50KM,LOCAL NORTH,Local,3.643749999999999,4,1,1,0,1,1
217,CHATSWORTH (DBN) - CLICKS,LOCAL 0-50KM,LOCAL SOUTH,Local,4.14,4,1,1,0,1,1
218,GAME CITY (DBN) - CLICKS,LOCAL 0-50KM,CBD,Local,1.793333333333333,4,1,1,0,1,1
223,BLUFF (DBN) - CLICKS,LOCAL 0-50KM,LOCAL SOUTH,Local,2.653333333333333,4,1,1,0,1,1
224,PAVILLION (DBN) - CLICKS,LOCAL 0-50KM,LOCAL WEST,Local,4.295,5,1,1,1,1,1
225,MONTCLAIR (DBN) - CLICKS,LOCAL 0-50KM,LOCAL SOUTH,Local,3.2,3,1,0,1,0,1
226,CASCADES (PMB) - CLICKS,LOCAL 51-100KM,FAR LOCAL - PMB,Local,2.413333333333334,3,1,0,1,0,1
228,HAYFIELDS MALL (PMB) - CLICKS,LOCAL 51-100KM,FAR LOCAL - PMB,Local,2.885714285714285,3,1,0,1,0,1
230,THE QUARRY (PMB) - CLICKS,LOCAL 51-100KM,FAR LOCAL - PMB,Local,1.442857142857143,3,1,0,1,0,1
231,NEDBANK PLAZA (PMB) - CLICKS,LOCAL 51-100KM,FAR LOCAL - PMB,Local,2.033333333333333,3,1,0,1,0,1
237,SCOTTBURGH - CLICKS,LOCAL 51-100KM,LOCAL SOUTH,Local,2.685714285714285,5,1,1,1,1,1
241,SEADOONE (AMANZIMTOTI)- CLICKS,LOCAL 0-50KM,LOCAL SOUTH,Local,1.676470588235294,4,1,1,0,1,1
242,PIETERMARITZBURG - CLICKS,LOCAL 51-100KM,FAR LOCAL - PMB,Local,2.615384615384615,3,1,0,1,0,1
243,GATEWAY (UMHLANGA) - CLICKS,LOCAL 0-50KM,LOCAL NORTH,Local,6.009090909090909,5,1,1,1,1,1
245,SMITH STREET (DBN)- CLICKS,LOCAL 0-50KM,CBD,Local,1.677777777777778,4,1,1,0,1,1
248,LIBERTY MIDLANDS MALL - CLICKS,LOCAL 51-100KM,FAR LOCAL - PMB,Local,4.626666666666667,3,1,0,1,0,1
1511,KENSINGTON SQUARE -CLICKS PLUS,LOCAL 0-50KM,LOCAL NORTH,Local,2.727272727272726,2,0,1,0,0,1
1529,UMLAZI MEGA CITY - CLICKS,LOCAL 0-50KM,LOCAL SOUTH,Local,2.465,5,1,1,1,1,1
1533,WESTGARD - CLICKS,LOCAL 0-50KM,CBD,Local,1.952,5,1,1,1,1,1
1559,THE GALLERIA (TOTI) - CLICKS,LOCAL 51-100KM,LOCAL SOUTH,Local,3.799999999999995,5,1,1,1,1,1
1577,BRIDGE CITY (DBN) - CLICKS,LOCAL 0-50KM,LOCAL CENTRAL,Local,2.242857142857143,5,1,1,1,1,1
1591,HOWICK - CLICKS,LOCAL 51-100KM,FAR LOCAL - PMB,Local,1.823076923076923,3,1,0,1,0,1
1608,SOUTHWAY MALL(NEW)(DBN)-CLICKS,LOCAL 0-50KM,LOCAL SOUTH,Local,1.899999999999999,2,0,1,0,0,1
1609,VICTORIA ROAD (PMB) - CLICKS,LOCAL 51-100KM,FAR LOCAL - PMB,Local,2.583333333333333,3,1,0,1,0,1
1629,MUSGRAVE CENTRE (DBN)- CLICKS,LOCAL 0-50KM,CBD,Local,3.029411764705882,4,1,1,0,1,1
1644,EDENDALE (PMBURG)- CLICKS,LOCAL 51-100KM,FAR LOCAL - PMB,Local,2.138461538461538,3,1,0,1,0,1
1647,STANGER - CLICKS,LOCAL 51-100KM,FAR LOCAL - NORTH,Local,2.215384615384615,3,1,0,1,0,1
1655,WESTVILLE VILLAGE (DBN)-CLICKS,LOCAL 0-50KM,LOCAL WEST,Local,3.916666666666665,4,1,1,0,1,1
1656,RESERVOIR HILLS (DBN) - CLICKS,LOCAL 0-50KM,LOCAL NORTH,Local,2.2,3,1,0,1,0,1
1657,UMHLALI (TONGAAT) - CLICKS,LOCAL 51-100KM,FAR LOCAL - NORTH,Local,1.916666666666667,3,1,0,1,0,1
1662,WESTWOOD (DBN) - CLICKS,LOCAL 0-50KM,LOCAL WEST,Local,2.5,4,1,1,0,1,1
1670,LILLIES QUARTER (DBN) - CLICKS,LOCAL 0-50KM,LOCAL WEST,Local,2.464285714285714,3,1,0,1,0,1
1673,THE CRESCENT(UMHLANGA)-CLICKS,LOCAL 0-50KM,LOCAL NORTH,Local,1.752631578947368,5,1,1,1,1,1
1680,PHOENIX PLAZA(DBN) - CLICKS,LOCAL 0-50KM,LOCAL CENTRAL,Local,3.1125,4,1,1,0,1,1
1682,KLOOF - CLICKS,LOCAL 0-50KM,LOCAL WEST,Local,1.735294117647059,4,1,1,0,1,1
1710,KWA MNYANDU (DBN) - CLICKS,LOCAL 0-50KM,LOCAL SOUTH,Local,2.121428571428571,3,1,0,1,0,1
1734,QUEENSBURGH PHARMACY - CLICKS,LOCAL 0-50KM,LOCAL SOUTH,Local,2.375,2,0,1,0,0,1
1745,WATERCREST MALL (DBN) - CLICKS,LOCAL 0-50KM,LOCAL WEST,Local,2.325,4,1,1,0,1,1
1822,CORNUBIA (MT EDGECOMBE)-CLICKS,LOCAL 0-50KM,LOCAL NORTH,Local,2.822727272727273,5,1,1,1,1,1
1825,BALLITO JUNCTION(DBN)- CLICKS,LOCAL 0-50KM,FAR LOCAL - NORTH,Local,3.447619047619048,4,1,1,0,1,1
1838,HAMMARSDALE - CLICKS,LOCAL 0-50KM,LOCAL WEST,Local,2.85,4,1,1,0,1,1
1848,BEREA (DBN) - CLICKS,LOCAL 0-50KM,CBD,Local,1.7125,4,1,1,0,1,1
1861,KWA DAKUZA MALL - CLICKS,LOCAL 51-100KM,FAR LOCAL - NORTH,Local,2.922222222222222,4,1,1,0,1,1
1866,HILLCREST CORNER - CLICKS,LOCAL 0-50KM,LOCAL WEST,Local,2.25,4,1,1,0,1,1
1873,ATHLONE CIRCLE (PMB) - CLICKS,LOCAL 51-100KM,FAR LOCAL - PMB,Local,2.116666666666667,3,1,0,1,0,1
1876,NEW SALT ROCK - CLICKS,LOCAL 51-100KM,FAR LOCAL - NORTH,Local,3.223076923076923,3,1,0,1,0,1
1877,ARBOUR CROSSING(TOTI) - CLICKS,LOCAL 0-50KM,LOCAL SOUTH,Local,1.968181818181818,5,1,1,1,1,1
1929,KWA MASHU - CLICKS,LOCAL 0-50KM,LOCAL CENTRAL,Local,1.841666666666666,3,1,0,1,0,1
1964,NEWLANDS EAST - CLICKS,LOCAL 0-50KM,LOCAL CENTRAL,Local,1.972727272727273,2,0,1,0,0,1
1980,MOUNT EDGECOMBE PLAZA - CLICKS,LOCAL 0-50KM,LOCAL CENTRAL,Local,2.044444444444444,2,0,1,0,0,1
1986,THE RIDGE @ SHALLCROSS - CLICK,LOCAL 0-50KM,LOCAL SOUTH,Local,3.066666666666666,2,0,1,0,0,1
1989,MIDWAY CROSSING - CLICKS,LOCAL 0-50KM,LOCAL CENTRAL,Local,2.2375,3,1,0,1,0,1
1998,THE SPARK(DBN) -CLICKS,LOCAL 0-50KM,CBD,Local,1.527272727272727,3,1,0,1,0,1
2010,VERULAM -(CLICKS),LOCAL 0-50KM,LOCAL NORTH,Local,2.092307692307692,3,1,0,1,0,1
2015,THE ODYSSEY-BALLITO CLICKS,LOCAL 0-50KM,FAR LOCAL - NORTH,Local,1.018181818181818,3,1,0,1,0,1
2034,409 WEST STREET-CLICKS,LOCAL 0-50KM,CBD,Local,1.984615384615385,5,1,1,1,1,1
2035,LIGHTHOUSE QUARTER CLICKS,LOCAL 0-50KM,LOCAL NORTH,Local,2.143749999999999,3,1,0,1,0,1
2037,DELCAIRN LIFESTYLE CENTRE CLK,LOCAL 0-50KM,LOCAL WEST,Local,1.45,4,1,1,0,1,1
2040,DAVENPORT SQUARE -CLICKS,LOCAL 0-50KM,CBD,Local,2.143749999999999,4,1,1,0,1,1
2054,BLUFF TOWERS CLICKS,LOCAL 0-50KM,LOCAL SOUTH,Local,2.4125,4,1,1,0,1,1
2060,HILTON SIDING-CLICKS,LOCAL 51-100KM,FAR LOCAL - PMB,Local,1.478571428571428,3,1,0,1,0,1
2066,GATEWAY BABY - CLICKS,LOCAL 0-50KM,LOCAL NORTH,Local,0.5599999999999999,3,1,0,1,0,1
